e_A,e_B,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.30000000000000004,0.6000000000000001,9.944535020143126,9.716145280982067,8.693284624244207,8.428047993289491,0
0.30000000000000004,0.65,9.945233838325173,9.637834536575621,8.66840711070693,8.3864632581834,0
0.30000000000000004,0.7000000000000001,9.944448512833084,9.549839712836016,8.685632391319485,8.284521540123867,0
0.30000000000000004,0.75,9.945627777478405,9.39460295757686,8.733114841497331,8.116821204902447,0
0.30000000000000004,0.8,9.946238102072027,9.189746055778896,8.74234903175506,7.937026720199209,0
0.30000000000000004,0.8500000000000001,9.945754487181189,8.825084917597561,8.697436950393188,7.506661019761162,0
0.30000000000000004,0.9,9.943909365652472,8.092617207757922,8.708494264988145,6.752025307288002,0
0.35000000000000003,0.0,9.913095109868188,10.020914343472139,8.615663171667908,8.71036863579457,0
0.35000000000000003,0.05,9.91395454483832,10.012081911590094,8.619251027479208,8.704586176263383,0
0.35000000000000003,0.1,9.910637874674654,9.999111618386385,8.582551410837292,8.658585634790885,0
0.35000000000000003,0.15000000000000002,9.913812835200003,9.987982464260163,8.62485314073515,8.688185923266003,0
0.35000000000000003,0.2,9.913847583315027,9.976316382123125,8.616724771668327,8.667419325320418,0
0.35000000000000003,0.25,9.915651428833945,9.957092792389025,8.671800372430713,8.711045978203552,0
0.35000000000000003,0.30000000000000004,9.913267716259048,9.940910948692883,8.653047648441325,8.679670375823067,0
0.35000000000000003,0.35000000000000003,9.916484162973797,9.916637478434186,8.685489655292379,8.687222008108012,1
0.35000000000000003,0.4,9.918030031245122,9.902070175983647,8.67447730068798,8.658445226123707,0
0.35000000000000003,0.45,9.918069368111766,9.868318035155779,8.715158706324347,8.668829770094812,0
0.35000000000000003,0.5,9.915939514856255,9.82805443487533,8.66791498227349,8.562950139346682,0
0.35000000000000003,0.55,9.915631236764282,9.785441393846044,8.608163440424518,8.464693311300321,0
0.35000000000000003,0.6000000000000001,9.91775634754746,9.716844474784015,8.627664248877505,8.440091470255947,0
0.35000000000000003,0.65,9.920078774468934,9.640204655468732,8.678491943997159,8.4101808732681,0
0.35000000000000003,0.7000000000000001,9.917185331368254,9.550030559055083,8.620827609875793,8.246233469150917,0
